Tempo	Boid	Velocità_X	Velocità_Y	|Velocità|
0	0	3.98243	1.67135	4.31893
0	1	2.30036	0.642079	2.38829
0	2	4.98444	-4.68433	6.84015
0	3	5.74552	1.22204	5.87405
0.5	0	4.5116	1.36119	4.71247
0.5	1	2.8564	0.37359	2.88072
0.5	2	4.86179	-3.55034	6.02013
0.5	3	5.41174	0.856597	5.47911
1	0	4.98659	1.12117	5.11107
1	1	3.94933	-0.342233	3.96413
1	2	4.82915	-2.32446	5.35946
1	3	5.27016	0.154499	5.27242
1.5	0	5.71774	0.571111	5.74619
1.5	1	4.97084	-0.990917	5.06865
1.5	2	5.15795	-0.968327	5.24806
1.5	3	5.29005	-0.452827	5.30939
2	0	6.34464	0.00956893	6.34465
2	1	5.8784	-1.46935	6.05926
2	2	5.56723	0.00748253	5.56724
2	3	5.4494	-0.919951	5.52651
2.5	0	6.86094	-0.484228	6.87801
2.5	1	6.63977	-1.74979	6.86646
2.5	2	5.95825	0.210593	5.96198
2.5	3	5.71357	-1.2752	5.85415
3	0	6.70952	-0.575008	6.73412
3	1	7.20207	-1.86858	7.44052
3	2	6.30384	0.261138	6.30925
3	3	5.91855	-1.16565	6.03225
3.5	0	6.66258	-0.64488	6.69372
3.5	1	7.02065	-1.59816	7.20026
3.5	2	6.34986	-0.0183362	6.34988
3.5	3	6.07038	-1.08328	6.16628
4	0	6.62613	-0.695889	6.66257
4	1	6.88628	-1.39836	7.02683
4	2	6.38541	-0.226505	6.38942
4	3	6.18283	-1.02134	6.26662
4.5	0	6.59787	-0.733125	6.63848
4.5	1	6.78677	-1.25075	6.90106
4.5	2	6.41282	-0.381552	6.42416
4.5	3	6.26609	-0.974769	6.34146
5	0	6.57601	-0.760305	6.61982
5	1	6.71307	-1.14171	6.80947
5	2	6.43394	-0.497027	6.45311
5	3	6.32774	-0.939752	6.39714
5.5	0	6.55912	-0.780144	6.60536
5.5	1	6.65851	-1.06116	6.74254
5.5	2	6.45018	-0.583026	6.47647
5.5	3	6.37338	-0.913424	6.43851
6	0	6.54611	-0.794622	6.59416
6	1	6.61812	-1.00167	6.6935
6	2	6.46265	-0.647068	6.49496
6	3	6.40717	-0.89363	6.46918
6.5	0	6.53608	-0.805189	6.58549
6.5	1	6.58823	-0.957728	6.65747
6.5	2	6.47222	-0.694758	6.5094
6.5	3	6.43217	-0.878749	6.49192
7	0	6.52837	-0.8129	6.57879
7	1	6.5661	-0.925276	6.63097
7	2	6.47955	-0.730268	6.52057
7	3	6.45067	-0.867562	6.50875
7.5	0	6.52245	-0.818527	6.57361
7.5	1	6.54972	-0.901311	6.61145
7.5	2	6.48516	-0.756708	6.52916
7.5	3	6.46436	-0.859153	6.5212
8	0	6.51791	-0.822633	6.56962
8	1	6.53761	-0.883615	6.59705
8	2	6.48946	-0.776393	6.53574
8	3	6.47449	-0.852832	6.53041
8.5	0	6.51443	-0.825629	6.56654
8.5	1	6.52865	-0.870549	6.58643
8.5	2	6.49274	-0.791049	6.54075
8.5	3	6.48198	-0.848081	6.53722
9	0	6.51177	-0.827816	6.56418
9	1	6.52202	-0.860903	6.57859
9	2	6.49524	-0.801959	6.54456
9	3	6.48752	-0.84451	6.54225
9.5	0	6.50974	-0.829411	6.56236
9.5	1	6.51711	-0.853781	6.5728
9.5	2	6.49715	-0.810081	6.54746
9.5	3	6.49162	-0.841826	6.54597
10	0	6.50818	-0.830574	6.56097
10	1	6.51349	-0.848523	6.56852
10	2	6.49861	-0.816126	6.54965
10	3	6.49465	-0.839809	6.54872
